Overall,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Total income,7865308.67,12034434.49,26153529.73,,,,,,,,,
Cost of goods sold,2645359.98,6233431.52,18081288.87,,,,,,,,,
Expense,5220432,4698955.95,6572041.39,,,,,,,,,
Net profit & loss,-483.31,1102047.02,1500199.47,,,,,,,,,
Accumulated profit,-483.31,1101563.71,2601763.18,,,,,,,,,
,,,,,,,,,,,,
Expense Breakdown,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Overtime - Employees,59534.58,59691.84,59825.38,,,,,,,,,
Telephone Expenses,24509.5,26888.48,27570.95,,,,,,,,,
Electricity Expenses,18438.75,24448.88,28881.92,,,,,,,,,
Water Supplies,489.22,381.08,354.36,,,,,,,,,
Stationary Expenses,735.08,5290.83,1799.05,,,,,,,,,
Seminar & Training,90000,8100,15636.45,,,,,,,,,
Domain & Hosting Expense,68052.08,62605.57,75208.38,,,,,,,,,
Copy expenses,4108.6,3839,4967.8,,,,,,,,,
Entertain,108734.14,114873.69,194179.58,,,,,,,,,
Fuel Expenses,47832.51,47245.78,56689.9,,,,,,,,,
Travel & Transportation-Local,44799.62,41412.46,58640.41,,,,,,,,,
Loss on Exchange Rate,150582.23,155145.99,173226.54,,,,,,,,,
,,,,,,,,,,,,
Late report,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Times,24,31,19,,,,,,,,,
Hours,0.46,1.57,0.45,,,,,,,,,
,,,,,,,,,,,,
A/R Aging Breakdown,,,,,,,,,,,,
Aging Category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Current,9481203.98,7639060.09,13890436.07,,,,,,,,,
1 – 30 Days,6212109.18,2815013.77,3385232.31,,,,,,,,,
31 – 60 Days,6869400,4164063.36,-,,,,,,,,,
61 – 90 Days,535000,3038800,1328494.88,,,,,,,,,
Over 90 Days,4922894.84,4881087.8,7919887.8,,,,,,,,,
Overall,28020608,22538025.02,26524051.06,,,,,,,,,
